instrument_code,mission_name,instrument_name,before_description,llm_description
spase://SMWG/Instrument/BARREL/1B/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1B Trajectory Positions,BARREL Balloon 1B ephemeris providing trajectory position coordinates of the balloon platform
spase://SMWG/Instrument/BARREL/1B/XRI,BARREL,XRI,"BARREL Balloon 1B X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from precipitating radiation belt electrons
spase://SMWG/Instrument/BARREL/1B/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1B Data Processing Unit,"BARREL Balloon 1B data processing unit acquiring X-ray spectrometer, magnetometer, GPS, and engineering housekeeping data"
spase://SMWG/Instrument/BARREL/1B/MAG,BARREL,MAG,"BARREL Balloon 1B Tilt Compensated Magnetometer, TCM2, Instrument",BARREL Balloon 1B three-axis magnetometer measuring local magnetic field variations and ULF oscillations
spase://SMWG/Instrument/BARREL/1C/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1C Trajectory Positions,BARREL 1C ephemeris trajectory data product providing balloon position in multiple coordinate systems
spase://SMWG/Instrument/BARREL/1C/XRI,BARREL,XRI,"BARREL Balloon 1C X-ray Instrument, XRI",BARREL XRI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes in Earth’s radiation belts
spase://SMWG/Instrument/BARREL/1C/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1C Data Processing Unit,"BARREL Balloon 1C data processing unit handling X-ray spectrometer, magnetometer, GPS, and engineering telemetry acquisition and control"
spase://SMWG/Instrument/BARREL/1C/MAG,BARREL,MAG,"BARREL Balloon 1C Tilt Compensated Magnetometer, TCM2, Instrument",BARREL Balloon 1C three-axis magnetometer measuring local magnetic field variations and ULF wave activity
spase://SMWG/Instrument/BARREL/1D/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1D Trajectory Positions,BARREL ephemeris data product providing balloon trajectory positions in multiple coordinate systems
spase://SMWG/Instrument/BARREL/1D/XRI,BARREL,XRI,"BARREL Balloon 1D X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and flux from precipitating radiation belt electrons
spase://SMWG/Instrument/BARREL/1D/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1D Data Processing Unit,"BARREL Balloon 1D data processing unit controlling and formatting X-ray spectrometer, magnetometer, GPS, and engineering telemetry data"
spase://SMWG/Instrument/BARREL/1D/MAG,BARREL,MAG,"BARREL Balloon 1D Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations for substorm and ULF wave studies
spase://SMWG/Instrument/BARREL/1G/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1G Trajectory Positions,BARREL Balloon 1G ephemeris providing balloon trajectory positions in multiple coordinate systems
spase://SMWG/Instrument/BARREL/1G/XRI,BARREL,XRI,"BARREL Balloon 1G X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from 10 keV to 10 MeV
spase://SMWG/Instrument/BARREL/1G/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1G Data Processing Unit,"BARREL Balloon 1G data processing unit acquiring X-ray spectrometer, magnetometer, GPS, and engineering housekeeping data"
spase://SMWG/Instrument/BARREL/1G/MAG,BARREL,MAG,"BARREL Balloon 1G Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations for substorm and ULF wave studies
spase://SMWG/Instrument/BARREL/1H/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1H Trajectory Positions,BARREL Balloon 1H ephemeris providing trajectory position coordinates of the balloon platform
spase://SMWG/Instrument/BARREL/1H/XRI,BARREL,XRI,"BARREL Balloon 1H X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from precipitating radiation belt electrons
spase://SMWG/Instrument/BARREL/1H/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1H Data Processing Unit,"BARREL Balloon 1H data processing unit controlling instrument operations and telemetry from the X-ray spectrometer, magnetometer, GPS, and engineering interfaces"
spase://SMWG/Instrument/BARREL/1H/MAG,BARREL,MAG,"BARREL Balloon 1H Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations and ULF oscillations
spase://SMWG/Instrument/BARREL/1I/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1I Trajectory Positions,BARREL Balloon 1I ephemeris providing trajectory position coordinates of the balloon platform
spase://SMWG/Instrument/BARREL/1I/XRI,BARREL,XRI,"BARREL Balloon 1I X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes
spase://SMWG/Instrument/BARREL/1I/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1I Data Processing Unit,"BARREL Balloon 1I data processing unit controlling instrument operations and telemetry from the X-ray spectrometer, magnetometer, GPS, and engineering interfaces"
spase://SMWG/Instrument/BARREL/1I/MAG,BARREL,MAG,"BARREL Balloon 1I Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations and ULF wave activity
spase://SMWG/Instrument/BARREL/1J/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1J Trajectory Positions,BARREL Balloon 1J ephemeris providing trajectory position coordinates in multiple reference frames
spase://SMWG/Instrument/BARREL/1J/XRI,BARREL,XRI,"BARREL Balloon 1J X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from radiation belt electron precipitation
spase://SMWG/Instrument/BARREL/1J/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1J Data Processing Unit,"BARREL Balloon 1J data processing unit handling X-ray spectrometer, magnetometer, GPS, and engineering telemetry acquisition and control"
spase://SMWG/Instrument/BARREL/1J/MAG,BARREL,MAG,"BARREL Balloon 1J Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations and ULF oscillations along the balloon trajectory
spase://SMWG/Instrument/BARREL/1K/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1K Trajectory Positions,BARREL Balloon 1K ephemeris providing trajectory position coordinates of the balloon platform
spase://SMWG/Instrument/BARREL/1K/XRI,BARREL,XRI,"BARREL Balloon 1K X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and flux from 10 keV to 10 MeV
spase://SMWG/Instrument/BARREL/1K/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1K Data Processing Unit,"BARREL Balloon 1K data processing unit controlling instrument operations and acquiring X-ray spectrometer, magnetometer, GPS, and engineering telemetry data"
spase://SMWG/Instrument/BARREL/1K/MAG,BARREL,MAG,"BARREL Balloon 1K Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations for substorm and ULF wave studies
spase://SMWG/Instrument/BARREL/1M/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1M Trajectory Positions,BARREL Balloon 1M ephemeris providing trajectory position coordinates of the balloon platform
spase://SMWG/Instrument/BARREL/1M/XRI,BARREL,XRI,"BARREL Balloon 1M X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and flux from radiation belt electron precipitation
spase://SMWG/Instrument/BARREL/1M/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1M Data Processing Unit,"BARREL Balloon 1M data processing unit controlling the X-ray spectrometer, magnetometer, GPS, and telemetry/command systems"
spase://SMWG/Instrument/BARREL/1M/MAG,BARREL,MAG,"BARREL Balloon 1M Tilt Compensated Magnetometer, TCM2, Instrument",BARREL Balloon 1M three-axis magnetometer measuring local magnetic field variations for substorm and ULF wave studies
spase://SMWG/Instrument/BARREL/1O/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1O Trajectory Positions,BARREL Balloon 1O ephemeris providing trajectory position coordinates of the balloon platform
spase://SMWG/Instrument/BARREL/1O/XRI,BARREL,XRI,"BARREL Balloon 1O X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from precipitating radiation belt electrons
spase://SMWG/Instrument/BARREL/1O/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1O Data Processing Unit,"BARREL Balloon 1O data processing unit acquiring X-ray spectrometer, magnetometer, GPS, and engineering housekeeping data"
spase://SMWG/Instrument/BARREL/1O/MAG,BARREL,MAG,"BARREL Balloon 1O Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations and ULF wave activity
spase://SMWG/Instrument/BARREL/1Q/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1Q Trajectory Positions,BARREL 1Q ephemeris providing balloon trajectory positions in multiple coordinate systems
spase://SMWG/Instrument/BARREL/1Q/XRI,BARREL,XRI,"BARREL Balloon 1Q X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from precipitating radiation belt electrons
spase://SMWG/Instrument/BARREL/1Q/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1Q Data Processing Unit,"BARREL Balloon 1Q data processing unit controlling the X-ray spectrometer, magnetometer, GPS, and telemetry/command systems"
spase://SMWG/Instrument/BARREL/1Q/MAG,BARREL,MAG,"BARREL Balloon 1Q Tilt Compensated Magnetometer, TCM2, Instrument",BARREL Balloon 1Q tilt-compensated three-axis magnetometer measuring local magnetic field variations and ULF oscillations
spase://SMWG/Instrument/BARREL/1R/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1R Trajectory Positions,BARREL Balloon 1R ephemeris providing trajectory position coordinates in multiple reference frames
spase://SMWG/Instrument/BARREL/1R/XRI,BARREL,XRI,"BARREL Balloon 1R X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from precipitating radiation belt electrons
spase://SMWG/Instrument/BARREL/1R/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1R Data Processing Unit,"BARREL Balloon 1R data processing unit controlling instrument operations and acquiring X-ray spectrometer, magnetometer, GPS, and engineering telemetry data"
spase://SMWG/Instrument/BARREL/1R/MAG,BARREL,MAG,"BARREL Balloon 1R Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations and ULF oscillations on the balloon payload
spase://SMWG/Instrument/BARREL/1S/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1S Trajectory Positions,BARREL Balloon 1S ephemeris providing trajectory position coordinates in multiple reference frames
spase://SMWG/Instrument/BARREL/1S/XRI,BARREL,XRI,"BARREL Balloon 1S X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray flux and energy spectra from radiation belt electron precipitation
spase://SMWG/Instrument/BARREL/1S/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1S Data Processing Unit,"BARREL Balloon 1S data processing unit acquiring X-ray spectrometer, magnetometer, GPS, and engineering telemetry data"
spase://SMWG/Instrument/BARREL/1S/MAG,BARREL,MAG,"BARREL Balloon 1S Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations for substorm and ULF wave studies
spase://SMWG/Instrument/BARREL/1T/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1T Trajectory Positions,BARREL Balloon 1T ephemeris providing trajectory position coordinates of the balloon platform
spase://SMWG/Instrument/BARREL/1T/XRI,BARREL,XRI,"BARREL Balloon 1T X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from radiation belt electron precipitation
spase://SMWG/Instrument/BARREL/1T/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1T Data Processing Unit,"BARREL Balloon 1T data processing unit controlling instrument operations and acquiring X-ray spectrometer, magnetometer, GPS, and engineering telemetry data"
spase://SMWG/Instrument/BARREL/1T/MAG,BARREL,MAG,"BARREL Balloon 1T Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations and ULF oscillations
spase://SMWG/Instrument/BARREL/1U/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1U Trajectory Positions,BARREL 1U ephemeris providing balloon trajectory positions in multiple coordinate systems
spase://SMWG/Instrument/BARREL/1U/XRI,BARREL,XRI,"BARREL Balloon 1U X-ray Instrument, XRI",BARREL XRI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from precipitating radiation belt electrons
spase://SMWG/Instrument/BARREL/1U/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1U Data Processing Unit,"BARREL 1U data processing unit acquiring X-ray spectrometer, magnetometer, GPS, and engineering housekeeping data for telemetry and instrument control"
spase://SMWG/Instrument/BARREL/1U/MAG,BARREL,MAG,"BARREL Balloon 1U Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations on the balloon payload
spase://SMWG/Instrument/BARREL/1V/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1V Trajectory Positions,BARREL Balloon 1V ephemeris providing trajectory position coordinates of the balloon platform
spase://SMWG/Instrument/BARREL/1V/XRI,BARREL,XRI,"BARREL Balloon 1V X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and flux from radiation belt electron precipitation
spase://SMWG/Instrument/BARREL/1V/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1V Data Processing Unit,"BARREL Balloon 1V data processing unit controlling instrument operations and telemetry from the X-ray spectrometer, magnetometer, GPS, and engineering interfaces"
spase://SMWG/Instrument/BARREL/1V/MAG,BARREL,MAG,"BARREL Balloon 1V Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations and ULF oscillations along the balloon trajectory
spase://SMWG/Instrument/BARREL/2A/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2A Trajectory Positions,BARREL Balloon 2A ephemeris providing trajectory position coordinates in multiple reference frames
spase://SMWG/Instrument/BARREL/2A/XRI,BARREL,XRI,"BARREL Balloon 2A X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from radiation belt electron precipitation
spase://SMWG/Instrument/BARREL/2A/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2A Data Processing Unit,"BARREL Balloon 2A data processing unit controlling instrument operations and telemetry from the X-ray spectrometer, magnetometer, GPS, and engineering subsystems"
spase://SMWG/Instrument/BARREL/2A/MAG,BARREL,MAG,"BARREL Balloon 2A Tilt Compensated Magnetometer, TCM2, Instrument",BARREL Balloon 2A MAG three-axis magnetometer measuring local magnetic field variations and ULF oscillations
spase://SMWG/Instrument/BARREL/2B/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2B Trajectory Positions,BARREL Balloon 2B ephemeris providing trajectory positions in multiple coordinate systems
spase://SMWG/Instrument/BARREL/2B/XRI,BARREL,XRI,"BARREL Balloon 2B X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes
spase://SMWG/Instrument/BARREL/2B/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2B Data Processing Unit,"BARREL Balloon 2B data processing unit controlling the X-ray spectrometer, magnetometer, GPS, and telemetry/command systems"
spase://SMWG/Instrument/BARREL/2B/MAG,BARREL,MAG,"BARREL Balloon 2B Tilt Compensated Magnetometer, TCM2, Instrument",BARREL Balloon 2B tilt-compensated three-axis magnetometer measuring local magnetic field variations and ULF oscillations
spase://SMWG/Instrument/BARREL/2C/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2C Trajectory Positions,BARREL Balloon 2C ephemeris providing trajectory position coordinates in multiple reference frames
spase://SMWG/Instrument/BARREL/2C/XRI,BARREL,XRI,"BARREL Balloon 2C X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from radiation belt electron precipitation
spase://SMWG/Instrument/BARREL/2C/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2C Data Processing Unit,"BARREL Balloon 2C data processing unit controlling the X-ray spectrometer, magnetometer, GPS, and telemetry/command systems"
spase://SMWG/Instrument/BARREL/2C/MAG,BARREL,MAG,"BARREL Balloon 2C Tilt Compensated Magnetometer, TCM2, Instrument",BARREL Balloon 2C tilt-compensated three-axis magnetometer measuring local magnetic field variations and ULF oscillations
spase://SMWG/Instrument/BARREL/2D/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2D Trajectory Positions,BARREL ephemeris data product providing balloon trajectory positions in multiple coordinate systems
spase://SMWG/Instrument/BARREL/2D/XRI,BARREL,XRI,"BARREL Balloon 2D X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and flux from 10 keV to 10 MeV
spase://SMWG/Instrument/BARREL/2D/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2D Data Processing Unit,"BARREL Data Processing Unit instrument controller and telemetry processor for the X-ray spectrometer, magnetometer, GPS, and engineering data interfaces"
spase://SMWG/Instrument/BARREL/2D/MAG,BARREL,MAG,"BARREL Balloon 2D Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG 2D tilt-compensated magnetometer measuring local magnetic field variations on the balloon payload
spase://SMWG/Instrument/BARREL/2E/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2E Trajectory Positions,BARREL Balloon 2E ephemeris providing trajectory position in multiple coordinate systems
spase://SMWG/Instrument/BARREL/2E/XRI,BARREL,XRI,"BARREL Balloon 2E X-ray Instrument, XRI",BARREL Balloon 2E XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes
spase://SMWG/Instrument/BARREL/2E/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2E Data Processing Unit,"BARREL Balloon 2E data processing unit controlling the X-ray spectrometer, magnetometer, GPS, and telemetry/command interfaces"
spase://SMWG/Instrument/BARREL/2E/MAG,BARREL,MAG,"BARREL Balloon 2E Tilt Compensated Magnetometer, TCM2, Instrument",BARREL Balloon 2E tilt-compensated three-axis magnetometer measuring local magnetic field variations
spase://SMWG/Instrument/BARREL/2F/XRI,BARREL,XRI,"BARREL Balloon 2F X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from precipitating radiation belt electrons
spase://SMWG/Instrument/BARREL/2F/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2F Data Processing Unit,"BARREL Balloon 2F data processing unit acquiring X-ray spectrometer, magnetometer, GPS, and engineering housekeeping data"
spase://SMWG/Instrument/BARREL/2F/MAG,BARREL,MAG,"BARREL Balloon 2F Tilt Compensated Magnetometer, TCM2, Instrument",BARREL Balloon 2F MAG three-axis magnetometer measuring local magnetic field variations
spase://SMWG/Instrument/BARREL/2I/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2I Trajectory Positions,BARREL Balloon 2I ephemeris providing trajectory position coordinates in multiple reference frames
spase://SMWG/Instrument/BARREL/2I/XRI,BARREL,XRI,"BARREL Balloon 2I X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from precipitating radiation belt electrons
spase://SMWG/Instrument/BARREL/2I/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2I Data Processing Unit,"BARREL Balloon 2I data processing unit acquiring X-ray spectrometer, magnetometer, GPS, and engineering telemetry data"
spase://SMWG/Instrument/BARREL/2I/MAG,BARREL,MAG,"BARREL Balloon 2I Tilt Compensated Magnetometer, TCM2, Instrument",BARREL Balloon 2I tilt-compensated three-axis magnetometer measuring local magnetic field variations and ULF oscillations
spase://SMWG/Instrument/BARREL/2K/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2K Trajectory Positions,BARREL Balloon 2K ephemeris providing balloon trajectory positions in multiple coordinate systems
spase://SMWG/Instrument/BARREL/2K/XRI,BARREL,XRI,"BARREL Balloon 2K X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from 10 keV to 10 MeV
spase://SMWG/Instrument/BARREL/2K/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2K Data Processing Unit,"BARREL Data Processing Unit instrument controller acquiring X-ray spectrometer, magnetometer, GPS, and engineering telemetry data"
spase://SMWG/Instrument/BARREL/2K/MAG,BARREL,MAG,"BARREL Balloon 2K Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations on the balloon payload
spase://SMWG/Instrument/BARREL/2L/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2L Trajectory Positions,BARREL Balloon 2L ephemeris providing trajectory position coordinates of the balloon platform
spase://SMWG/Instrument/BARREL/2L/XRI,BARREL,XRI,"BARREL Balloon 2L X-ray Instrument, XRI",BARREL XRI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes in the radiation belts
spase://SMWG/Instrument/BARREL/2L/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2L Data Processing Unit,"BARREL Balloon 2L data processing unit controlling the X-ray spectrometer, magnetometer, GPS, and telemetry/command interfaces"
spase://SMWG/Instrument/BARREL/2L/MAG,BARREL,MAG,"BARREL Balloon 2L Tilt Compensated Magnetometer, TCM2, Instrument",BARREL Balloon 2L tilt-compensated fluxgate magnetometer measuring three-axis magnetic field variations for substorm and ULF wave studies
spase://SMWG/Instrument/BARREL/2M/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2M Trajectory Positions,BARREL Balloon 2M ephemeris providing trajectory position coordinates of the balloon platform
spase://SMWG/Instrument/BARREL/2M/XRI,BARREL,XRI,"BARREL Balloon 2M X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and flux from 10 keV to 10 MeV
spase://SMWG/Instrument/BARREL/2M/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2M Data Processing Unit,"BARREL Balloon 2M data processing unit controlling and formatting X-ray spectrometer, magnetometer, GPS, and engineering telemetry data"
spase://SMWG/Instrument/BARREL/2M/MAG,BARREL,MAG,"BARREL Balloon 2M Tilt Compensated Magnetometer, TCM2, Instrument",BARREL MAG three-axis magnetometer measuring local magnetic field variations and ULF oscillations on the balloon payload
spase://SMWG/Instrument/BARREL/2N/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2N Trajectory Positions,BARREL Balloon 2N ephemeris trajectory data providing balloon position coordinates in multiple reference frames
spase://SMWG/Instrument/BARREL/2N/XRI,BARREL,XRI,"BARREL Balloon 2N X-ray Instrument, XRI",BARREL XRI NaI scintillation X-ray spectrometer measuring bremsstrahlung X-ray energy spectra and fluxes from radiation belt electron precipitation
