instrument_code,mission_name,before_name,after_name,before_description,after_description,changed
spase://SMWG/Instrument/Apollo15-LM/SWS,Apollo 15 Lunar Module/ALSEP,SWS,Solar Wind Spectrometer,Solar Wind Spectrometer,"Spectrometer: The solar wind spectrometer, designed to measure protons and electrons at the lunar surface, was part of the Apollo 15 ALSEP package left on the Moon.",yes
spase://SMWG/Instrument/BARREL/1A/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1A Trajectory Positions,BARREL Balloon 1A Trajectory Positions,"Platform: This document describes the BARREL Balloon 1A Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/1A/XRI,BARREL,XRI,"BARREL Balloon 1A X-ray Instrument, XRI","BARREL Balloon 1A X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 1A X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/1A/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1A Data Processing Unit,BARREL Balloon 1A Data Processing Unit,"Platform: This document describes the BARREL Balloon 1A Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/1A/MAG,BARREL,MAG,"BARREL Balloon 1A Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 1A Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 1A magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/1B/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1B Trajectory Positions,BARREL Balloon 1B Trajectory Positions,"Platform: This document describes the BARREL Balloon 1B Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/1B/XRI,BARREL,XRI,"BARREL Balloon 1B X-ray Instrument, XRI","BARREL Balloon 1B X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 1B X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/1B/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1B Data Processing Unit,BARREL Balloon 1B Data Processing Unit,"Platform: This document describes the BARREL Balloon 1B Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/1B/MAG,BARREL,MAG,"BARREL Balloon 1B Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 1B Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 1B magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/1C/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1C Trajectory Positions,BARREL Balloon 1C Trajectory Positions,"Platform: This document describes the BARREL Balloon 1C Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/1C/XRI,BARREL,XRI,"BARREL Balloon 1C X-ray Instrument, XRI","BARREL Balloon 1C X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 1C X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/1C/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1C Data Processing Unit,BARREL Balloon 1C Data Processing Unit,"Platform: This document describes the BARREL Balloon 1C Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/1C/MAG,BARREL,MAG,"BARREL Balloon 1C Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 1C Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 1C magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/1D/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1D Trajectory Positions,BARREL Balloon 1D Trajectory Positions,"Platform: This document describes the BARREL Balloon 1D Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/1D/XRI,BARREL,XRI,"BARREL Balloon 1D X-ray Instrument, XRI","BARREL Balloon 1D X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 1D X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/1D/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1D Data Processing Unit,BARREL Balloon 1D Data Processing Unit,"Platform: This document describes the BARREL Balloon 1D Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/1D/MAG,BARREL,MAG,"BARREL Balloon 1D Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 1D Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 1D magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/1G/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1G Trajectory Positions,BARREL Balloon 1G Trajectory Positions,"Platform: This document describes the BARREL Balloon 1G Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/1G/XRI,BARREL,XRI,"BARREL Balloon 1G X-ray Instrument, XRI","BARREL Balloon 1G X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 1G X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/1G/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1G Data Processing Unit,BARREL Balloon 1G Data Processing Unit,"Platform: This document describes the BARREL Balloon 1G Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/1G/MAG,BARREL,MAG,"BARREL Balloon 1G Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 1G Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 1G magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/1H/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1H Trajectory Positions,BARREL Balloon 1H Trajectory Positions,"Platform: This document describes the BARREL Balloon 1H Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/1H/XRI,BARREL,XRI,"BARREL Balloon 1H X-ray Instrument, XRI","BARREL Balloon 1H X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 1H X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/1H/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1H Data Processing Unit,BARREL Balloon 1H Data Processing Unit,"Platform: This document describes the BARREL Balloon 1H Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/1H/MAG,BARREL,MAG,"BARREL Balloon 1H Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 1H Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 1H magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/1I/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1I Trajectory Positions,BARREL Balloon 1I Trajectory Positions,"Platform: This document describes the BARREL Balloon 1I Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/1I/XRI,BARREL,XRI,"BARREL Balloon 1I X-ray Instrument, XRI","BARREL Balloon 1I X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 1I X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/1I/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1I Data Processing Unit,BARREL Balloon 1I Data Processing Unit,"Platform: This document describes the BARREL Balloon 1I Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/1I/MAG,BARREL,MAG,"BARREL Balloon 1I Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 1I Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 1I magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/1J/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1J Trajectory Positions,BARREL Balloon 1J Trajectory Positions,"Platform: This document describes the BARREL Balloon 1J Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/1J/XRI,BARREL,XRI,"BARREL Balloon 1J X-ray Instrument, XRI","BARREL Balloon 1J X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 1J X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/1J/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1J Data Processing Unit,BARREL Balloon 1J Data Processing Unit,"Platform: This document describes the BARREL Balloon 1J Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/1J/MAG,BARREL,MAG,"BARREL Balloon 1J Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 1J Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 1J magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/1K/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1K Trajectory Positions,BARREL Balloon 1K Trajectory Positions,"Platform: This document describes the BARREL Balloon 1K Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/1K/XRI,BARREL,XRI,"BARREL Balloon 1K X-ray Instrument, XRI","BARREL Balloon 1K X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 1K X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/1K/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1K Data Processing Unit,BARREL Balloon 1K Data Processing Unit,"Platform: This document describes the BARREL Balloon 1K Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/1K/MAG,BARREL,MAG,"BARREL Balloon 1K Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 1K Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 1K magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/1M/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1M Trajectory Positions,BARREL Balloon 1M Trajectory Positions,"Platform: This document describes the BARREL Balloon 1M Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/1M/XRI,BARREL,XRI,"BARREL Balloon 1M X-ray Instrument, XRI","BARREL Balloon 1M X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 1M X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/1M/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1M Data Processing Unit,BARREL Balloon 1M Data Processing Unit,"Platform: This document describes the BARREL Balloon 1M Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/1M/MAG,BARREL,MAG,"BARREL Balloon 1M Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 1M Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 1M magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/1O/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1O Trajectory Positions,BARREL Balloon 1O Trajectory Positions,"Platform: This document describes the BARREL Balloon 1O Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/1O/XRI,BARREL,XRI,"BARREL Balloon 1O X-ray Instrument, XRI","BARREL Balloon 1O X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 1O X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/1O/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1O Data Processing Unit,BARREL Balloon 1O Data Processing Unit,"Platform: This document describes the BARREL Balloon 1O Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/1O/MAG,BARREL,MAG,"BARREL Balloon 1O Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 1O Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 1O magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/1Q/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1Q Trajectory Positions,BARREL Balloon 1Q Trajectory Positions,"Platform: This document describes the BARREL Balloon 1Q Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/1Q/XRI,BARREL,XRI,"BARREL Balloon 1Q X-ray Instrument, XRI","BARREL Balloon 1Q X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 1Q X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/1Q/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1Q Data Processing Unit,BARREL Balloon 1Q Data Processing Unit,"Platform: This document describes the BARREL Balloon 1Q Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/1Q/MAG,BARREL,MAG,"BARREL Balloon 1Q Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 1Q Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 1Q magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/1R/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1R Trajectory Positions,BARREL Balloon 1R Trajectory Positions,"Platform: This document describes the BARREL Balloon 1R Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/1R/XRI,BARREL,XRI,"BARREL Balloon 1R X-ray Instrument, XRI","BARREL Balloon 1R X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 1R X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/1R/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1R Data Processing Unit,BARREL Balloon 1R Data Processing Unit,"Platform: This document describes the BARREL Balloon 1R Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/1R/MAG,BARREL,MAG,"BARREL Balloon 1R Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 1R Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 1R magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/1S/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1S Trajectory Positions,BARREL Balloon 1S Trajectory Positions,"Platform: This document describes the BARREL Balloon 1S Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/1S/XRI,BARREL,XRI,"BARREL Balloon 1S X-ray Instrument, XRI","BARREL Balloon 1S X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 1S X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/1S/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1S Data Processing Unit,BARREL Balloon 1S Data Processing Unit,"Platform: This document describes the BARREL Balloon 1S Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/1S/MAG,BARREL,MAG,"BARREL Balloon 1S Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 1S Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 1S magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/1T/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1T Trajectory Positions,BARREL Balloon 1T Trajectory Positions,"Platform: This document describes the BARREL Balloon 1T Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/1T/XRI,BARREL,XRI,"BARREL Balloon 1T X-ray Instrument, XRI","BARREL Balloon 1T X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 1T X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/1T/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1T Data Processing Unit,BARREL Balloon 1T Data Processing Unit,"Platform: This document describes the BARREL Balloon 1T Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/1T/MAG,BARREL,MAG,"BARREL Balloon 1T Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 1T Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 1T magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/1U/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1U Trajectory Positions,BARREL Balloon 1U Trajectory Positions,"Platform: This document describes the BARREL Balloon 1U Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/1U/XRI,BARREL,XRI,"BARREL Balloon 1U X-ray Instrument, XRI","BARREL Balloon 1U X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 1U X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/1U/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1U Data Processing Unit,BARREL Balloon 1U Data Processing Unit,"Platform: This document describes the BARREL Balloon 1U Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/1U/MAG,BARREL,MAG,"BARREL Balloon 1U Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 1U Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 1U magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/1V/Ephemeris,BARREL,Ephemeris,BARREL Balloon 1V Trajectory Positions,BARREL Balloon 1V Trajectory Positions,"Platform: This document describes the BARREL Balloon 1V Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/1V/XRI,BARREL,XRI,"BARREL Balloon 1V X-ray Instrument, XRI","BARREL Balloon 1V X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 1V X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/1V/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 1V Data Processing Unit,BARREL Balloon 1V Data Processing Unit,"Platform: This document describes the BARREL Balloon 1V Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/1V/MAG,BARREL,MAG,"BARREL Balloon 1V Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 1V Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 1V magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/2A/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2A Trajectory Positions,BARREL Balloon 2A Trajectory Positions,"Platform: This document describes the BARREL Balloon 2A Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/2A/XRI,BARREL,XRI,"BARREL Balloon 2A X-ray Instrument, XRI","BARREL Balloon 2A X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 2A X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/2A/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2A Data Processing Unit,BARREL Balloon 2A Data Processing Unit,"Platform: This document describes the BARREL Balloon 2A Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/2A/MAG,BARREL,MAG,"BARREL Balloon 2A Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 2A Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 2A magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/2B/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2B Trajectory Positions,BARREL Balloon 2B Trajectory Positions,"Platform: This document describes the BARREL Balloon 2B Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/2B/XRI,BARREL,XRI,"BARREL Balloon 2B X-ray Instrument, XRI","BARREL Balloon 2B X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 2B X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/2B/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2B Data Processing Unit,BARREL Balloon 2B Data Processing Unit,"Platform: This document describes the BARREL Balloon 2B Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/2B/MAG,BARREL,MAG,"BARREL Balloon 2B Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 2B Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 2B magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/2C/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2C Trajectory Positions,BARREL Balloon 2C Trajectory Positions,"Platform: This document describes the BARREL Balloon 2C Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/2C/XRI,BARREL,XRI,"BARREL Balloon 2C X-ray Instrument, XRI","BARREL Balloon 2C X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 2C X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/2C/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2C Data Processing Unit,BARREL Balloon 2C Data Processing Unit,"Platform: This document describes the BARREL Balloon 2C Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/2C/MAG,BARREL,MAG,"BARREL Balloon 2C Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 2C Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 2C magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/2D/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2D Trajectory Positions,BARREL Balloon 2D Trajectory Positions,"Platform: This document describes the BARREL Balloon 2D Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/2D/XRI,BARREL,XRI,"BARREL Balloon 2D X-ray Instrument, XRI","BARREL Balloon 2D X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 2D X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/2D/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2D Data Processing Unit,BARREL Balloon 2D Data Processing Unit,"Platform: This document describes the BARREL Balloon 2D Data Processing Unit, DPU.",yes
spase://SMWG/Instrument/BARREL/2D/MAG,BARREL,MAG,"BARREL Balloon 2D Tilt Compensated Magnetometer, TCM2, Instrument","BARREL Balloon 2D Tilt Compensated Magnetometer, TCM2, Instrument","Magnetometer: This document describes the BARREL Balloon 2D magnetometer, MAG.",yes
spase://SMWG/Instrument/BARREL/2E/Ephemeris,BARREL,Ephemeris,BARREL Balloon 2E Trajectory Positions,BARREL Balloon 2E Trajectory Positions,"Platform: This document describes the BARREL Balloon 2E Ephemeris, EPHM, virtual instrument.",yes
spase://SMWG/Instrument/BARREL/2E/XRI,BARREL,XRI,"BARREL Balloon 2E X-ray Instrument, XRI","BARREL Balloon 2E X-ray Instrument, XRI",EnergeticParticleInstrument: This document describes the BARREL Balloon 2E X-ray instrument.,yes
spase://SMWG/Instrument/BARREL/2E/DataProcessingUnit,BARREL,DataProcessingUnit,BARREL Balloon 2E Data Processing Unit,BARREL Balloon 2E Data Processing Unit,"Platform: This document describes the BARREL Balloon 2E Data Processing Unit, DPU.",yes
